Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
REL,"c-Rel, HIVEN86A, I-Rel",ENSG00000162924,"REL proto-oncogene, NF-kB subunit",Q04864,2,60881491-60931612,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors","Transcription, Transcription regulation","Activator, DNA-binding","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 35.3,Cell type enhanced,Detected in many,,B-cells: 620.1;cDC: 989.3;Innate lymphoid cells: 620.5;Macrophages: 541.4;Mast cells: 802.4;monocytes: 783.3;Neutrophils: 1082.3;NK-cells: 631.2;Urothelial cells: 569.2,Cell type enhanced,Detected in all,,central nervous system macrophage: 241.5;leukocyte: 197.7,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Cancer enhanced,Detected in all,,lymphoma: 34.6,,Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,CAB004404,Uncertain,,,,,,NA,NA,,,Cluster 2: Dendritic cells - Unknown function,Cluster 44: Bone marrow - Nuclear processes,Cluster 10: Cerebellum - Nucleic acid binding,Cluster 55: Lymphoma - Immune response,Cluster 103: Non-specific - Basic cellular processes,191,,,CAB004404: ,unprognostic (1.15e-1),unprognostic (2.72e-1),unprognostic (2.94e-1),unprognostic (1.40e-2),unprognostic (4.21e-1),unprognostic (9.71e-3),unprognostic (3.52e-1),unprognostic (1.02e-1),unprognostic (1.17e-1),potential prognostic unfavorable (2.11e-4),unprognostic (1.85e-2),unprognostic (7.51e-2),unprognostic (1.90e-1),unprognostic (9.94e-2),unprognostic (4.74e-2),unprognostic (2.20e-1),unprognostic (6.03e-3),unprognostic (1.28e-1),unprognostic (6.57e-2),unprognostic (2.04e-1),potential prognostic unfavorable (3.73e-4),unprognostic (4.91e-2),unprognostic (1.83e-3),unprognostic (8.45e-2),unprognostic (1.08e-2),potential prognostic favorable (6.61e-5),unprognostic (3.12e-1),unprognostic (1.21e-1),unprognostic (3.10e-1),unprognostic (1.60e-1),unprognostic (2.17e-1)
RET,"CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC, RET51",ENSG00000165731,Ret proto-oncogene,P07949,10,43077064-43130351,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Cell adhesion,"Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Hirschsprung disease, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,adrenal gland: 10.9;parathyroid gland: 18.7,Cell type enhanced,Detected in many,,Adrenal medulla cells: 234.0;Breast lactating cells: 62.8;Corticotrophs: 36.2;Fibro-adipogenic progenitors: 52.0;Myosatellite cells: 24.1;Respiratory ionocytes: 86.4;Retinal horizontal cells: 86.1,Cell type enhanced,Detected in many,,lower rhombic lip: 23.0,Cancer enhanced,Detected in many,,Breast Invasive Carcinoma (TCGA): 20.0,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Group enriched,Detected in some,6,Neuroblastoma: 97.7;thyroid cancer: 31.6,"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pituitary gland - Corticotropes, Testis - Spermatogonia",Low region specificity,Detected in all,,,Group enriched,Detected in many,5,midbrain: 86.5;spinal cord: 33.3,"CAB002581, HPA008356, HPA008495",Approved,Supported,Approved,"Golgi apparatus,Plasma membrane,Cytosol",,,No,NA,,14000000,,Cluster 69: Parathyroid gland - Mixed function,Cluster 41: Monoamines - Neurotransmitter signalling,Cluster 16: Thyroid cancer - Neuronal signaling,Cluster 109: Neurons - Neuronal signaling,53,"Golgi apparatus, Cytosol",Plasma membrane,"CAB002581: , HPA008356: , HPA008495: ",,unprognostic (7.24e-2),unprognostic (1.86e-1),,,unprognostic (3.21e-1),unprognostic (1.61e-1),unprognostic (5.47e-2),unprognostic (6.93e-3),,,,,,,unprognostic (1.24e-1),unprognostic (2.00e-2),unprognostic (2.72e-2),unprognostic (1.05e-1),unprognostic (3.68e-2),unprognostic (1.31e-2),,,unprognostic (4.72e-1),,unprognostic (9.61e-2),,unprognostic (1.17e-3),unprognostic (2.46e-2),unprognostic (5.02e-2),unprognostic (2.85e-1)
RHOA,"ARH12, ARHA, Rho12, RHOH12",ENSG00000067560,Ras homolog family member A,P61586,3,49359139-49412998,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins","Cell cycle, Cell division, Host-virus interaction",Hydrolase,"Cancer-related genes, Disease variant, Ectodermal dysplasia, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Cardiomyocytes: 98.6;Choroid plexus epithelial cells: 53.5;Distal convoluted tubule cells: 66.0;Ependymal cells: 58.8;Loop of henle epithelial cells: 78.0;Microglia: 107.5;Oligodendrocytes: 77.0;Other brain neurons: 52.2;Papillary tip epithelial cells: 95.2;Podocytes: 78.2;Proximal tubule cells: 65.3;Renal collecting duct intercalated cells: 84.0;Renal collecting duct principal cells: 77.7;Renal connecting tubule cells: 87.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Spleen - Macrophages,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,CAB005052,Approved,,Supported,"Plasma membrane,Cytosol",,,NA,NA,,1600000,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 28: Oligodendrocytes - Mixed function,Cluster 8: Non-specific - Basic cellular processes,Cluster 102: Non-specific - Mixed function,188,"Plasma membrane, Cytosol",,CAB005052: ,unprognostic (3.25e-2),unprognostic (9.84e-2),unprognostic (3.95e-1),unprognostic (8.00e-2),unprognostic (2.18e-2),unprognostic (3.32e-1),unprognostic (2.57e-1),unprognostic (6.23e-2),unprognostic (2.10e-1),potential prognostic unfavorable (2.40e-4),potential prognostic favorable (2.75e-7),unprognostic (9.18e-3),potential prognostic favorable (3.33e-4),validated prognostic unfavorable (2.85e-4),validated prognostic unfavorable (2.59e-4),unprognostic (1.05e-1),unprognostic (1.53e-3),unprognostic (8.79e-2),unprognostic (2.55e-2),unprognostic (1.25e-2),unprognostic (1.12e-1),unprognostic (8.62e-3),unprognostic (7.88e-2),unprognostic (1.68e-1),unprognostic (7.61e-2),unprognostic (1.91e-1),unprognostic (1.07e-1),unprognostic (7.86e-2),unprognostic (2.56e-1),unprognostic (1.48e-1),unprognostic (1.55e-2)
RHOH,"ARHH, TTF",ENSG00000168421,Ras homolog family member H,Q15669,4,40191011-40246967,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",,,"Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in many,7,bone marrow: 69.7;lymphoid tissue: 99.1,Cell type enhanced,Detected in many,,B-cells: 771.4;Hematopoietic stem cells: 342.6;Innate lymphoid cells: 328.4;Mast cells: 1000.2;Neutrophil progenitors: 221.3;Neutrophils: 357.3;NK-cells: 358.5;pDCs: 159.7;Plasma cells: 723.3;T-cells: 643.2;Thymocytes: 379.4,Cell type enriched,Detected in some,5,leukocyte: 344.2,Cancer enhanced,Detected in all,,Breast Invasive Carcinoma (TCGA): 24.8,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Group enriched,Detected in many,6,Bone cancer: 37.1;Leukemia: 60.8;lymphoma: 89.5;Myeloma: 49.9,"Adipose visceral - T-cells, Adrenal gland - T-cells, Liver - T-cells, Prostate - T-cells, Spleen - B-cells (Spleen)",Low region specificity,Detected in single,,,Low region specificity,Detected in many,,,"HPA030345, HPA061314",Uncertain,,Approved,"Golgi apparatus,Vesicles",,,NA,NA,,,Cluster 3: Non-specific - Nuclear processes,Cluster 51: Lymphoid tissue - Adaptive immune response,Cluster 39: Astrocytes - Mixed function,Cluster 59: Leukemia - T-cell receptor,Cluster 87: B-cells - Adaptive immunity: Humoral response,15,"Golgi apparatus, Vesicles",,"HPA030345: , HPA061314: ",unprognostic (7.47e-2),unprognostic (1.64e-1),unprognostic (9.69e-2),unprognostic (3.58e-3),unprognostic (4.72e-2),unprognostic (2.13e-2),unprognostic (4.93e-2),unprognostic (2.10e-1),unprognostic (5.12e-3),unprognostic (8.94e-2),unprognostic (2.00e-1),unprognostic (2.53e-1),unprognostic (1.26e-3),unprognostic (1.60e-1),unprognostic (5.69e-2),potential prognostic favorable (6.95e-4),unprognostic (9.56e-2),unprognostic (2.01e-1),unprognostic (1.16e-1),unprognostic (1.17e-1),unprognostic (2.53e-1),unprognostic (2.74e-2),unprognostic (1.28e-2),unprognostic (1.59e-1),unprognostic (4.64e-2),unprognostic (1.99e-3),potential prognostic favorable (1.29e-4),unprognostic (2.99e-2),unprognostic (1.94e-2),unprognostic (1.14e-1),unprognostic (2.01e-2)
RMI2,"BLAP18, C16orf75, MGC24665",ENSG00000175643,RecQ mediated genome instability 2,Q96E14,16,11249619-11381662,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",DNA replication,DNA-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,lymphoid tissue: 34.3,Cell type enhanced,Detected in many,,Cytotrophoblasts: 150.6;Differentiating spermatogonia: 68.3;Early primary spermatocytes: 102.2;Early spermatids: 180.5;Late spermatids: 280.3;Migrating cytotrophoblasts: 108.9;Undifferentiated spermatogonia: 79.0,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in many,,,Immune cell enhanced,Detected in some,,memory B-cell: 4.2,Group enriched,Detected in many,6,B-cells: 4.2;T-cells: 1.4,Low cancer specificity,Detected in all,,,"Lung - Mitotic cells (Lung), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes, Testis - Spermatogonia",Not detected,Not detected,,,Low region specificity,Detected in many,,,HPA040995,Uncertain,,Supported,"Nuclear speckles,Cytosol",,,NA,Yes,,,Cluster 43: Non-specific - Transcription & Translation,Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation,Cluster 51: Neurons - Mixed function,Cluster 46: Lymphoma - Humoral immune response,Cluster 63: Cytotrophoblasts - Basic cellular functions,8,Nuclear speckles,Cytosol,HPA040995: ,unprognostic (1.88e-1),unprognostic (2.98e-1),,unprognostic (7.63e-3),unprognostic (1.39e-1),unprognostic (1.75e-1),unprognostic (7.82e-3),unprognostic (8.70e-2),unprognostic (2.26e-3),unprognostic (2.05e-1),unprognostic (1.11e-1),unprognostic (8.39e-2),unprognostic (1.19e-3),validated prognostic unfavorable (3.66e-6),validated prognostic unfavorable (8.79e-6),unprognostic (5.10e-3),unprognostic (1.32e-2),unprognostic (1.12e-2),unprognostic (7.39e-2),unprognostic (2.95e-1),unprognostic (1.56e-1),unprognostic (4.69e-3),potential prognostic unfavorable (8.51e-5),unprognostic (2.71e-1),unprognostic (1.90e-2),unprognostic (1.55e-1),unprognostic (1.62e-1),unprognostic (1.19e-1),unprognostic (7.53e-2),unprognostic (4.42e-3),unprognostic (6.26e-2)
RNF213,"ALO17, C17orf27, KIAA1554, KIAA1618, MYMY2, NET57",ENSG00000173821,Ring finger protein 213,Q63HN8,17,80260852-80398794,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins","Angiogenesis, Immunity, Lipid metabolism, Ubl conjugation pathway","Hydrolase, Multifunctional enzyme, Transferase","Cancer-related genes, Disease variant, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Alveolar cells type 1: 684.1;Neutrophils: 659.8,Cell type enhanced,Detected in all,,central nervous system macrophage: 373.0;leukocyte: 508.8,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Kidney - Macrophages,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA003347, HPA026790",Approved,,Supported,Cytosol,,,NA,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 69: Parathyroid gland - Mixed function,Cluster 20: Macrophages & Microglia - Immune response,Cluster 59: Leukemia - T-cell receptor,Cluster 92: NK-cells & T-cells - Adaptive immunity: Cytotoxicity,13,Cytosol,,"HPA003347: , HPA026790: ",unprognostic (1.63e-2),unprognostic (3.64e-2),unprognostic (1.25e-2),unprognostic (5.25e-3),unprognostic (2.05e-1),unprognostic (3.87e-2),unprognostic (2.83e-1),unprognostic (2.46e-1),unprognostic (4.76e-2),unprognostic (1.47e-3),potential prognostic favorable (1.13e-4),unprognostic (2.79e-3),unprognostic (1.73e-2),unprognostic (1.38e-1),unprognostic (3.26e-2),unprognostic (1.30e-1),unprognostic (1.82e-2),unprognostic (2.16e-1),unprognostic (1.41e-1),unprognostic (1.85e-1),unprognostic (6.77e-3),unprognostic (1.14e-3),unprognostic (5.01e-2),unprognostic (1.60e-1),unprognostic (7.65e-3),potential prognostic favorable (4.91e-5),unprognostic (1.05e-1),unprognostic (7.85e-2),unprognostic (7.25e-2),unprognostic (2.91e-2),unprognostic (4.19e-2)
RNF43,"DKFZp781H0392, FLJ20315, URCC",ENSG00000108375,Ring finger protein 43,Q68DV7,17,58353676-58417595,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins","Ubl conjugation pathway, Wnt signaling pathway","Developmental protein, Transferase",Cancer-related genes,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,intestine: 21.4,Cell type enhanced,Detected in some,,Astrocytes: 38.8;Bergmann glia: 89.7;Brain excitatory neurons: 20.4;Distal convoluted tubule cells: 86.4;Ependymal cells: 165.7;Loop of henle epithelial cells: 70.2;Papillary tip epithelial cells: 54.9;Proximal tubule cells: 27.7;Renal collecting duct intercalated cells: 33.7;Renal collecting duct principal cells: 54.0;Renal connecting tubule cells: 62.3,Cell type enhanced,Detected in many,,Bergmann glia: 97.4;ependymal cell: 241.8,Group enriched,Detected in many,4,Colon Adenocarcinoma (TCGA): 99.8;Rectum Adenocarcinoma (TCGA): 97.8,Region enhanced,Detected in all,,cerebellum: 19.7,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in many,,Bile duct cancer: 45.8;colorectal cancer: 71.5,"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Keratinocyte (other), Spleen - B-cells (Spleen), Testis - Sertoli cells",Low region specificity,Detected in many,,,Low region specificity,Detected in many,,,HPA008079,Uncertain,,,,,,NA,NA,,,,Cluster 77: Intestine - Digestion,Cluster 2: Neurons - Nucleosome,Cluster 57: Stomach & Colon cancer - Digestion,Cluster 34: Ciliated cells - Cilia assembly & function,46,,,HPA008079: ,unprognostic (6.58e-2),unprognostic (1.15e-1),unprognostic (1.10e-1),unprognostic (1.84e-1),unprognostic (1.01e-1),unprognostic (1.19e-3),,,unprognostic (1.07e-1),unprognostic (8.00e-2),validated prognostic favorable (6.02e-5),validated prognostic favorable (2.25e-4),unprognostic (1.90e-2),unprognostic (1.08e-1),unprognostic (1.86e-3),unprognostic (3.44e-2),unprognostic (4.25e-2),unprognostic (3.15e-2),unprognostic (5.43e-3),unprognostic (1.58e-1),unprognostic (7.21e-2),unprognostic (6.48e-2),unprognostic (3.62e-2),unprognostic (3.70e-1),unprognostic (1.11e-2),unprognostic (8.85e-2),unprognostic (3.60e-1),unprognostic (2.54e-3),unprognostic (2.37e-2),unprognostic (3.52e-1),unprognostic (3.16e-3)
ROS1,"c-ros-1, MCF3, ROS",ENSG00000047936,"ROS proto-oncogene 1, receptor tyrosine kinase",P08922,6,117287353-117425942,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",,"Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, FDA approved drug targets, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in some,20,epididymis: 55.3;lung: 29.9,Group enriched,Detected in some,4,Alveolar cells type 2: 154.0;Transitional alveolar cells: 77.9,Group enriched,Detected in some,4,deep-layer corticothalamic and 6b: 2.9;upper-layer intratelencephalic: 2.3,Cancer enriched,Detected in some,4,Lung Adenocarcinoma (TCGA): 24.7,Region enhanced,Detected in some,,cerebral cortex: 7.5,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in some,,Bile duct cancer: 5.6;Bone cancer: 8.7;Brain cancer: 5.6,"Lung - Alveolar cells type 2, Skin - Sebaceous gland cells",Not detected,Not detected,,,Not detected,Not detected,,,"HPA049098, HPA072424",Uncertain,,Approved,Vesicles,,,NA,NA,,,,Cluster 22: Epididymis - Mixed function,Cluster 53: Neurons - Mixed function,Cluster 72: Neuronal - Signal transduction,Cluster 81: Alveolar cells - Lung function,12,Vesicles,,"HPA049098: , HPA072424: ",unprognostic (4.47e-2),,,unprognostic (2.50e-2),,,,unprognostic (8.43e-3),unprognostic (1.14e-1),,,,,,,unprognostic (6.10e-2),unprognostic (3.11e-1),unprognostic (5.94e-3),unprognostic (1.48e-1),,,unprognostic (1.12e-1),unprognostic (5.21e-2),,,,,,,,
RPL10,"DXS648, DXS648E, FLJ23544, L10, NOV, QM",ENSG00000147403,Ribosomal protein L10,P27635,X,154389955-154409168,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",,"Developmental protein, Ribonucleoprotein, Ribosomal protein","Autism, Autism spectrum disorder, Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Decidual stromal cells: 20460.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Spleen - B-cells (Spleen),,,,,,,,,"CAB010339, HPA011311",Enhanced,,Enhanced,"Endoplasmic reticulum,Cytosol",,,NA,NA,,330000,Cluster 18: Non-specific - Translation,Cluster 54: Non-specific - Ribosome,Cluster 7: Non-specific - Ribosome,Cluster 25: Non-specific - Ribosome,Cluster 15: Non-specific - Protein processing,348,"Endoplasmic reticulum, Cytosol",,"CAB010339: , HPA011311: ",unprognostic (9.90e-3),potential prognostic favorable (6.64e-4),unprognostic (5.62e-2),unprognostic (9.72e-3),unprognostic (1.63e-1),unprognostic (2.49e-2),unprognostic (1.72e-2),potential prognostic favorable (1.46e-4),unprognostic (4.51e-2),unprognostic (2.55e-1),unprognostic (1.05e-3),unprognostic (1.29e-2),potential prognostic unfavorable (4.32e-4),unprognostic (7.07e-2),potential prognostic unfavorable (1.43e-4),unprognostic (4.54e-1),unprognostic (1.23e-2),unprognostic (1.48e-2),unprognostic (7.32e-2),unprognostic (1.26e-1),unprognostic (4.01e-1),unprognostic (1.57e-2),unprognostic (8.26e-3),unprognostic (3.46e-1),unprognostic (7.47e-2),unprognostic (3.02e-1),unprognostic (1.53e-1),unprognostic (2.02e-1),unprognostic (7.49e-2),unprognostic (1.08e-1),unprognostic (5.87e-2)
RPL22,"EAP, L22",ENSG00000116251,Ribosomal protein L22,P35268,1,6185020-6209389,"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",,"Heparin-binding, Ribonucleoprotein, Ribosomal protein, RNA-binding",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Cardiomyocytes: 1138.9;Gastric chief cells: 988.3;Parietal cells: 746.1,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA068294,,,Uncertain,"Nucleoplasm,Nucleoli",,,NA,NA,,810000,Cluster 43: Non-specific - Transcription & Translation,Cluster 54: Non-specific - Ribosome,Cluster 7: Non-specific - Ribosome,Cluster 25: Non-specific - Ribosome,Cluster 15: Non-specific - Protein processing,148,Nucleoli,Nucleoplasm,HPA068294: ,unprognostic (5.65e-3),unprognostic (1.41e-2),unprognostic (9.61e-2),unprognostic (1.36e-2),unprognostic (2.26e-1),unprognostic (4.50e-2),unprognostic (1.41e-1),unprognostic (2.83e-2),unprognostic (3.89e-2),unprognostic (2.77e-3),potential prognostic favorable (2.14e-7),unprognostic (5.84e-2),unprognostic (1.13e-2),unprognostic (1.22e-2),potential prognostic unfavorable (1.47e-7),unprognostic (2.45e-2),unprognostic (3.39e-2),unprognostic (6.36e-2),unprognostic (4.73e-1),unprognostic (2.40e-1),unprognostic (5.15e-2),unprognostic (9.11e-2),unprognostic (1.04e-1),unprognostic (2.58e-1),unprognostic (3.78e-2),unprognostic (2.36e-2),unprognostic (1.83e-1),unprognostic (7.50e-2),unprognostic (2.27e-1),unprognostic (1.26e-1),unprognostic (4.45e-2)
